0	-0.012
0.005	0.002
0.01	0.019
0.015	-0.011
0.02	-0.013
0.025	0.019
0.03	0.009
0.035	0.011
0.04	0.003
0.045	-0.019
0.05	0.012
0.055	0.007
0.06	0.002
0.065	0.024
0.07	0.008
0.075	-0.005
0.08	-0.03
0.085	0.004
0.09	0.044
0.095	-0.006
0.1	0.001
0.105	-0.005
0.11	0.012
0.115	0.001
0.12	0.009
0.125	0.006
0.13	0.008
0.135	-0.001
0.14	0.014
0.145	0.025
0.15	-0.032
0.155	0.025
0.16	0.06
0.165	-0.019
0.17	0
0.175	0.018
0.18	0.009
0.185	-0.011
0.19	0.005
0.195	0.01
0.2	0.015
0.205	0.039
0.21	-0.019
0.215	-0.015
0.22	0.01
0.225	0.019
0.23	0.027
0.235	0.015
0.24	0.007
0.245	-0.004
0.25	-0.011
0.255	-0.022
0.26	0.034
0.265	0.021
0.27	-0.043
0.275	0.024
0.28	0.004
0.285	-0.017
0.29	-0.032
0.295	0.015
0.3	0.009
0.305	-0.008
0.31	-0.005
0.315	-0.004
0.32	-0.017
0.325	-0.005
0.33	-0.019
0.335	-0.025
0.34	0.011
0.345	0.009
0.35	-0.021
0.355	0.012
0.36	-0.017
0.365	-0.006
0.37	-0.012
0.375	0.039
0.38	0.014
0.385	-0.013
0.39	0.001
0.395	0.005
0.4	0.02
0.405	0
0.41	-0.002
0.415	0.016
0.42	0.004
0.425	0.006
0.43	-0.001
0.435	0.027
0.44	-0.001
0.445	-0.004
0.45	0.027
0.455	0.003
0.46	-0.008
0.465	0.009
0.47	0.021
0.475	0.003
0.48	-0.004
0.485	0.02
0.49	0.013
0.495	0.002
0.5	-0.016
0.505	0.005
0.51	0.058
0.515	-0.003
0.52	-0.03
0.525	0.016
0.53	0.022
0.535	-0.017
0.54	0.005
0.545	0.043
0.55	-0.021
0.555	0.027
0.56	-0.031
0.565	-0.01
0.57	0.005
0.575	-0.022
0.58	-0.011
0.585	0.045
0.59	0.024
0.595	-0.005
0.6	-0.049
0.605	-0.034
0.61	0.015
0.615	0.041
0.62	-0.006
0.625	-0.022
0.63	0.001
0.635	-0.002
0.64	0.006
0.645	0.001
0.65	-0.004
0.655	0.001
0.66	-0.008
0.665	-0.016
0.67	0.031
0.675	0.015
0.68	0.009
